Timestamp start: 1747232587461
Timestamp end: 1747234387749

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      225.4   177.8    54.7   102.3   111.9   188.4   247.1   280.4   303.6   329.1   360.5   408.5   644.6  2414.6  5353.8 111951.2   112066
read      240.2   191.5    59.1   100.3   110.1   210.7   270.9   301.8   323.1   348.3   379.5   427.5   705.3  2631.5  4334.9  72513.2    72585
read      288.4   307.5    54.7   107.4   118.5   208.9   279.9   325.3   360.7   406.9   487.7   688.4  1466.9  3668.6  7468.3 133678.0   133669
read      195.7   144.0    59.1   100.9   115.8   182.9   207.5   220.9   230.4   241.8   256.8   285.4   484.8  1692.4  6243.8  11816.2    11820
read      193.6   111.8    59.1    97.4   111.4   181.7   208.5   222.5   232.1   244.2   260.3   289.6   559.1  1308.2  2674.5  12584.6    12639
read      371.2   391.0    59.1   107.7   119.1   253.8   367.7   443.4   509.9   601.5   737.6  1005.4  1920.8  4032.5  7784.2 118754.8   118548
read      253.4   173.5    54.7   115.1   128.6   214.2   269.7   306.1   332.6   363.5   402.4   478.6   806.7  2000.5  4336.4 165739.8   165754
read      234.1   181.5    59.1   100.9   110.5   200.1   261.6   293.2   314.9   339.9   371.6   427.4   734.9  2457.4  5528.6  86838.2    86823
read      212.3   129.1    54.7   100.7   113.6   202.4   233.9   250.2   262.0   274.9   294.9   331.6   504.4  1437.2  3363.7  16913.8    16898
read      321.4   356.6    59.1   107.8   119.1   220.2   301.1   353.2   396.2   461.1   592.9   872.4  1845.2  3640.0  7528.1 122966.2   123124
read      237.2   216.4    59.1   100.3   109.7   205.1   263.2   291.0   310.5   333.0   361.6   406.1   919.4  2899.7  6448.3  72214.8    72278
read      257.5   200.2    54.7    99.7   110.9   231.1   288.0   317.1   337.5   361.2   391.7   446.3   993.7  2629.2  4672.4  47774.4    47757
read      276.4   232.7    54.7   100.7   112.9   237.1   304.0   338.9   363.6   392.1   429.3   500.9  1214.1  2688.2  7183.9  60409.0    60510
read      231.7   155.2    59.1    99.8   112.0   217.5   256.7   276.8   291.7   310.1   335.0   376.1   788.7  1724.8  4582.0  25099.0    25237
read      289.5   311.0    54.7   103.1   113.7   217.3   289.7   329.6   360.4   400.3   470.4   669.5  1546.8  3590.1  7508.5  97890.8    97783
read      225.8   160.0    59.1   103.0   112.6   188.4   246.4   280.7   304.5   330.9   363.8   419.5   722.9  2091.7  3694.1 118829.0   118966
read      204.9   115.7    54.7   100.4   114.0   194.6   223.8   238.3   249.5   262.8   279.9   313.4   560.3  1321.2  2955.9  16665.8    16631
read      201.4   160.2    54.7    98.5   112.8   184.6   211.3   225.5   235.1   248.4   266.3   298.9   789.0  2242.0  6488.9  11784.8    11743
read      343.1   385.9    59.1   106.9   118.3   229.3   321.4   381.4   433.5   519.3   666.3   951.9  1970.1  3983.6  7674.4 114959.8   115026
read      230.0   173.0    54.7   103.2   113.2   189.8   248.1   282.8   306.9   333.8   368.1   432.2   809.7  2131.7  5263.1 122482.0   122371
read      186.7   120.0    63.8    98.9   113.0   175.1   195.9   208.0   216.8   228.0   242.5   270.5   426.2  2212.8  3441.2   7148.8     7198
read      224.2   133.8    54.7    98.9   110.8   214.6   252.3   271.9   286.2   303.0   326.2   368.0   581.2  1314.3  3943.6  25093.0    25022
read      442.5   503.5    54.7   119.3   132.5   280.4   438.3   538.5   619.9   724.3   877.2  1187.6  2856.2  4671.2  7951.7 157448.8   157513
read      310.5   239.8    63.8   123.5   138.9   253.8   329.1   374.2   409.2   456.1   526.2   660.9  1129.8  2845.8  5219.8 172039.4   171975
read      262.1   212.0    59.1   112.7   125.8   215.9   274.0   311.2   337.6   369.0   414.4   514.4  1001.3  2538.6  6664.1 154858.4   154918
read      232.6   177.6    59.1   106.3   116.8   192.4   246.0   280.3   305.2   333.2   368.2   432.4   833.7  2183.6  4819.9 139195.6   139185
read      251.2   247.2    54.7   110.8   122.5   204.3   259.6   296.1   322.6   353.8   396.2   489.7   951.2  2720.4  5073.0 153015.6   152724
read      213.0   164.5    59.1   102.9   115.0   204.6   232.8   247.6   257.9   270.4   287.7   317.4   482.7  2189.7  5880.8  20886.4    20845
read      299.2   246.6    54.7   108.4   119.9   226.8   312.7   364.6   407.7   472.1   567.2   727.0  1114.9  2493.1  5591.6 140345.8   140348
read      227.2   191.1    54.7    99.0   108.3   192.5   252.2   282.0   302.1   325.0   354.5   401.7   762.0  2501.2  4902.5  88733.8    88725
read      251.2   240.0    54.7   105.4   116.2   197.1   254.4   290.7   316.7   346.8   390.8   487.7  1286.7  2920.6  5093.0 134276.2   134088
read      233.2   192.1    54.7    98.8   107.9   209.8   263.8   289.8   308.2   329.5   356.9   400.3   700.3  2605.9  5345.4  66292.2    66126
read      242.6   211.3    59.1    98.8   108.4   207.3   266.8   297.5   319.4   345.1   378.2   431.5  1023.7  2703.8  3890.5  78406.2    78214
read      248.5   169.5    54.7    98.9   109.6   226.4   283.3   313.4   334.2   358.0   388.2   435.9   802.5  2259.0  3220.3  55163.8    55191
