ubuntu@client-measure-rdtc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 --loadonly && ./mcperf -s 10.0.16.5 -a 10.0.16.3 --noload -T 8 -C 8 -D 4 -Q 1000 -c 8 -t 1800  --qps_interval 10 --qps_min 5000 --qps_max 180000 --qps_seed 2333
Random waveform, supplied seed
Total number of intervals = 180 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582)
Average QPS expected = 89046
Timestamp start: 1747001616379
Timestamp end: 1747003416704

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      187.3   125.2    68.9   104.3   118.4   178.8   199.5   211.4   219.5   230.2   244.2   268.1   413.0  1437.8  3215.5  14115.5    14085
read      264.0   258.4    63.8    98.1   108.5   206.9   269.3   307.4   336.1   371.3   422.1   541.8  1394.3  2907.8  7290.8  94150.9    94103
read      242.6   177.0    68.9    96.3   107.1   216.3   273.0   303.4   323.9   347.0   376.4   425.0   822.3  2279.5  4563.2  58171.7    58175
read      269.4   267.1    68.9   104.2   114.4   192.6   254.8   297.7   333.1   383.5   472.2   683.3  1359.1  2925.7  5235.6 151365.9   151312
read      220.1   180.0    63.8    95.6   104.0   186.5   238.2   269.1   291.2   316.7   348.5   398.9   846.7  2432.6  3961.5  83555.6    83333
read      230.6   193.0    63.8   105.3   116.2   187.2   233.8   265.9   290.6   320.8   365.6   454.5   847.7  2679.3  4650.2 165250.5   165153
read      197.2   112.9    63.8    97.8   106.5   170.4   215.3   244.2   266.0   290.3   319.0   363.5   471.5  1169.3  2862.2 123776.9   123975
read      211.1   131.6    63.8    97.9   109.2   200.4   234.6   253.2   266.4   281.4   300.3   332.2   485.9  1953.9  3616.6  28394.6    28449
read      189.4   121.0    68.9   101.5   116.2   180.4   201.9   214.2   223.0   233.1   247.8   271.7   502.5  1373.4  3792.7  14924.7    14903
read      214.2   140.5    68.9    96.8   107.9   201.5   239.1   259.4   273.0   289.4   310.1   342.8   554.6  1727.0  4772.6  31197.9    31189
read      222.7   131.4    63.8    95.9   106.6   209.2   254.4   278.0   294.1   312.7   336.1   371.5   499.3  1586.9  3355.9  40727.6    40636
read      237.0   202.5    63.8    96.4   105.6   198.1   253.7   287.2   311.5   340.0   375.8   436.4   975.2  2593.2  4619.1  80478.4    80574
read      235.1   206.4    68.9   106.8   118.0   191.5   238.0   270.0   294.3   324.5   368.2   455.1   855.1  2864.4  4025.9 168575.9   168820
read      214.2   127.5    63.8   105.5   116.1   184.3   227.6   256.5   278.7   305.5   340.1   399.3   587.4  1451.3  3118.4 162753.0   162621
read      196.5   109.2    68.9    96.7   104.8   172.4   221.2   249.7   269.8   291.8   317.5   355.5   439.3   885.7  2679.7 101579.0   101621
